post_timing, neighborhood, post title, number bedrooms, sqft, URL, price
2019-04-25 18:11, (cupertino),Wooden Activity Cube,nan,nan,https://sfbay.craigslist.org/sby/tag/d/cupertino-wooden-activity-cube/6851747692.html,
2019-04-25 18:11, (saratoga),4 ROOSTER PORCELAIN PLATES WITH ROOSTER PLATE HOLDER,nan,nan,https://sfbay.craigslist.org/sby/art/d/san-jose-4-rooster-porcelain-plates/6866578731.html,
2019-04-25 18:11, (saratoga),USED Mr. Christmas Sing Along with Santa Karaoke 50 Christmas Songs,nan,nan,https://sfbay.craigslist.org/sby/art/d/used-mr-christmas-sing-along-with-santa/6866064522.html,
2019-04-25 18:11, (cupertino),W Hotel - Cal King - Plush Top - Mattress,nan,nan,https://sfbay.craigslist.org/sby/fuo/d/hotel-cal-king-plush-top-mattress/6851753540.html,
2019-04-25 18:10, (cupertino),Hair straightener,nan,nan,https://sfbay.craigslist.org/sby/hab/d/cupertino-hair-straightener/6851762809.html,
2019-04-25 18:10, (saratoga),AMERICAN GIRL (7) DOLLS W/ CLOTHES BRASSBED,nan,nan,https://sfbay.craigslist.org/sby/tag/d/san-jose-american-girl-7-dolls-clothes/6866054388.html,
2019-04-25 18:10, (Saratoga),Emile Henry Couleurs Lasagna RED WHITE dish,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/san-jose-emile-henry-couleurs-lasagna/6859366584.html,
2019-04-25 18:10, (saratoga),TARGET OPAL HOUSE COTTON PERCALE FULL Sheet Set - Opalhouse™,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/san-jose-target-opal-house-cotton/6866054169.html,
2019-04-25 18:10, (saratoga),TARGET OPAL HOUSE COTTON PERCALE FULL Sheet Set - Opalhouse™,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/san-jose-target-opal-house-cotton/6866054169.html,
2019-04-25 18:10, (saratoga),LLADRO LOVE NEST 2 DOVES 6291,nan,nan,https://sfbay.craigslist.org/sby/atq/d/lladro-love-nest-2-doves-6291/6860083487.html,
2019-04-25 18:10, (san jose west),BMW 502 CABRIO RED 244 1:43 DIECAST,nan,nan,https://sfbay.craigslist.org/sby/clt/d/bmw-502-cabrio-red-diecast/6861852035.html,
2019-04-25 18:10, (cupertino),Shower Head,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/cupertino-shower-head/6866628060.html,
2019-04-25 18:10, (san jose south),FISKER KARMA 5 800 MILES,nan,nan,https://sfbay.craigslist.org/sby/cto/d/san-jose-fisker-karma-5800-miles/6874932265.html,
2019-04-25 18:10, (saratoga),L' ART CULINAIRE BARNYARD STACK WOOD HANGING 36.5 X 23.75,nan,nan,https://sfbay.craigslist.org/sby/grd/d/san-jose-art-culinaire-barnyard-stack/6853086493.html,
2019-04-25 18:10, (dublin / pleasanton / livermore),FS: BMW HP4,nan,nan,https://sfbay.craigslist.org/eby/mcy/d/livermore-fs-bmw-hp4/6874930124.html,
2019-04-25 18:10, (santa clara),METAL GRAPE SCROLL AND VINEYARD WALL ART,nan,nan,https://sfbay.craigslist.org/sby/art/d/metal-grape-scroll-and-vineyard-wall-art/6853086644.html,
2019-04-25 18:10, (napa county),Herman Miller Eames Molded Plastic chairs - on Chrome wire base,nan,nan,https://sfbay.craigslist.org/nby/fuo/d/rocklin-herman-miller-eames-molded/6874930089.html,
2019-04-25 18:10, (cupertino),Double Sit-n-stand Stroller,nan,nan,https://sfbay.craigslist.org/sby/bab/d/cupertino-double-sit-stand-stroller/6866624442.html,
2019-04-25 18:10, (san jose west),DISNEY PRINCESS DOLLS ULTIMATE COLLECTION,nan,nan,https://sfbay.craigslist.org/sby/tag/d/disney-princess-dolls-ultimate/6856166211.html,
2019-04-25 18:10, (san jose west),BARBIE Holiday-Voyage Hallmark,nan,nan,https://sfbay.craigslist.org/sby/clt/d/barbie-holiday-voyage-hallmark/6866064394.html,
2019-04-25 18:10, (San Luis Obispo),4 ft. Tall Schmidt Sand Blast Pot- OBO,nan,nan,https://sfbay.craigslist.org/eby/tls/d/san-luis-obispo-4-ft-tall-schmidt-sand/6874930031.html,
2019-04-25 18:10, (fairfield / vacaville),2017 honda accord EX-L,nan,nan,https://sfbay.craigslist.org/eby/cto/d/fairfield-2017-honda-accord-ex/6874932151.html,
2019-04-25 18:10, (saratoga),Geisha: A Unique World of Tradition  Elegance and Art Hardcover - Octo,nan,nan,https://sfbay.craigslist.org/sby/bks/d/san-jose-geisha-unique-world-of/6860171909.html,
2019-04-25 18:10, (saratoga),12TH-15TH C MEDIEVAL PAINTING REPRODUCTION,nan,nan,https://sfbay.craigslist.org/sby/art/d/san-jose-12th-15th-medieval-painting/6856166378.html,
2019-04-25 18:10, (saratoga),Princess Diana 1998 Porcelain Doll Black Serpentine  Dress by G,nan,nan,https://sfbay.craigslist.org/sby/clt/d/princess-diana-1998-porcelain-doll/6856183870.html,
2019-04-25 18:10, (concord / pleasant hill / martinez),2004 Honda CR-V EX,nan,nan,https://sfbay.craigslist.org/eby/cto/d/martinez-2004-honda-cr-ex/6874932073.html,
2019-04-25 18:10, (los gatos),LLADRO Pepita with hat,nan,nan,https://sfbay.craigslist.org/sby/clt/d/lladro-pepita-with-hat/6856184018.html,
2019-04-25 18:10, (foster city),Miller Big Blue 500d welder,nan,nan,https://sfbay.craigslist.org/pen/hvo/d/san-mateo-miller-big-blue-500d-welder/6874929941.html,
2019-04-25 18:10, (saratoga),VINTAGE TOMMY HILFIGER ROLLING PINK LUGGAGE,nan,nan,https://sfbay.craigslist.org/sby/clo/d/vintage-tommy-hilfiger-rolling-pink/6859318504.html,
2019-04-25 18:10, (San Luis Obispo),15 ton Hammer/Concrete Breaker for Excavator,nan,nan,https://sfbay.craigslist.org/sby/hvo/d/san-luis-obispo-15-ton-hammer-concrete/6874929227.html,
2019-04-25 18:10, (WE FINANCE💲 NO CREDIT NEEDED✅💯DAYS NO),💥Huge Off Road Wheel Sale💥 Wheels Tires Lift & Level Kits Instal,nan,nan,https://sfbay.craigslist.org/eby/wtd/d/stockton-huge-off-road-wheel-sale/6874931995.html,
2019-04-25 18:10, (soquel),1967 Toyota Stout pick up,nan,nan,https://sfbay.craigslist.org/scz/cto/d/soquel-1967-toyota-stout-pick-up/6874931968.html,
2019-04-25 18:10, (san jose west),New-Strawberry Shortcake - Berry Best Collection - Toys R Us - 5 Speci,nan,nan,https://sfbay.craigslist.org/sby/clt/d/new-strawberry-shortcake-berry-best/6865267716.html,
2019-04-25 18:10, (berkeley north / hills),Gorgeous Bookshelf,nan,nan,https://sfbay.craigslist.org/eby/fuo/d/berkeley-gorgeous-bookshelf/6874929869.html,
2019-04-25 18:10, (berkeley north / hills),Gorgeous Bookshelf,nan,nan,https://sfbay.craigslist.org/eby/fuo/d/berkeley-gorgeous-bookshelf/6874929869.html,
2019-04-25 18:10, (dublin / pleasanton / livermore),2012 900xp turbo rzr xp,nan,nan,https://sfbay.craigslist.org/eby/snw/d/patterson-xp-turbo-rzr-xp/6874923339.html,
2019-04-25 18:10, (san jose west),Swatch watch,nan,nan,https://sfbay.craigslist.org/sby/jwl/d/san-jose-swatch-watch/6874929831.html,
2019-04-25 18:10, (half moon bay),$$$cash For Your Unwanted trailer$$$,nan,nan,https://sfbay.craigslist.org/pen/wan/d/san-francisco-cash-for-your-unwanted/6858954940.html,
2019-04-25 18:10, (Coliseum Lexus of Oakland),2018 Lexus NX 300 Base,nan,nan,https://sfbay.craigslist.org/eby/ctd/d/oakland-2018-lexus-nx-300-base/6874931899.html,
2019-04-25 18:10, (santa cruz),Free Couch,nan,nan,https://sfbay.craigslist.org/scz/zip/d/santa-cruz-free-couch/6874929801.html,
2019-04-25 18:10, (san jose south),Pillsbury Doughboy Calendar Figurines,nan,nan,https://sfbay.craigslist.org/sby/art/d/san-jose-pillsbury-doughboy-calendar/6874929802.html,
2019-04-25 18:10, (los gatos),KOI SIGNED MATTED PRINT (framed),nan,nan,https://sfbay.craigslist.org/sby/art/d/koi-signed-matted-print-framed/6855961139.html,
2019-04-25 18:10, (willow glen / cambrian),2001 Ski Centurion Bow Rider,nan,nan,https://sfbay.craigslist.org/sby/boa/d/san-jose-2001-ski-centurion-bow-rider/6874929783.html,
2019-04-25 18:10, (palo alto),White farmhouse style nightstand,nan,nan,https://sfbay.craigslist.org/pen/fuo/d/palo-alto-white-farmhouse-style/6855944443.html,
2019-04-25 18:10, (saratoga),STAINED? SANDBLASTED  HANGING,nan,nan,https://sfbay.craigslist.org/sby/art/d/stained-sandblasted-hanging/6859882824.html,
2019-04-25 18:09, (saratoga),Vintage Wilscombe England 4 PLACEMATS  Tea Cup Theme Excellent in Box,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/san-jose-vintage-wilscombe-england-4/6853829148.html,
2019-04-25 18:09, (san jose west),CHINESE HAWTHORN 山楂 LIVE TREE,nan,nan,https://sfbay.craigslist.org/sby/grd/d/chinese-hawthorn-live-tree/6859883056.html,
2019-04-25 18:09, (Saratoga),Jackie Kennedy Franklin Mint Doll w/clothes,nan,nan,https://sfbay.craigslist.org/sby/for/d/jackie-kennedy-franklin-mint-doll/6855989525.html,
2019-04-25 18:09, (san jose east),2004 civic,nan,nan,https://sfbay.craigslist.org/sby/cto/d/san-jose-2004-civic/6874931809.html,
2019-04-25 18:09, (USF / panhandle),Beautiful 18th C. Dutch Marquetry Mirror 28" X 24",nan,nan,https://sfbay.craigslist.org/sfc/atq/d/san-francisco-beautiful-18th-dutch/6865306797.html,
2019-04-25 18:09, (USF / panhandle),Spectacular Wheeled Tansu--circa 1860,nan,nan,https://sfbay.craigslist.org/sfc/atq/d/san-francisco-spectacular-wheeled-tansu/6865305829.html,
2019-04-25 18:09, (alameda),1987 Bayliner 3218,nan,nan,https://sfbay.craigslist.org/eby/boa/d/oakland-1987-bayliner-3218/6874922567.html,
2019-04-25 18:09, (half moon bay),$$$cash For Your Unwanted trailer$$$,nan,nan,https://sfbay.craigslist.org/pen/wan/d/san-francisco-cash-for-your-unwanted/6858953789.html,
2019-04-25 18:09, (saratoga),EXOTERRA PT 2232 Dual Top Canopy REPTILE/AMPH Terrariums,nan,nan,https://sfbay.craigslist.org/sby/grd/d/san-jose-exoterra-pt-2232-dual-top/6861693449.html,
2019-04-25 18:09, (san jose south),Elegant Profile by Martiros Manoukian,nan,nan,https://sfbay.craigslist.org/sby/art/d/san-jose-elegant-profile-by-martiros/6874929628.html,
2019-04-25 18:09, (palo alto),Ethan Allen dresser,nan,nan,https://sfbay.craigslist.org/pen/fuo/d/palo-alto-ethan-allen-dresser/6864192852.html,
2019-04-25 18:09, (palo alto),Ethan Allen dresser,nan,nan,https://sfbay.craigslist.org/pen/fuo/d/palo-alto-ethan-allen-dresser/6864192852.html,
2019-04-25 18:09, (san leandro),$$$Cash For Trailers$$$,nan,nan,https://sfbay.craigslist.org/eby/wan/d/emeryville-cash-for-trailers/6867895391.html,
2019-04-25 18:09, (SAP),Playoff txks * SJ Sharks vs Colorado Avalanche,nan,nan,https://sfbay.craigslist.org/sby/tix/d/san-jose-playoff-txks-sj-sharks-vs/6874892557.html,
2019-04-25 18:09, (oakland hills / mills),Bookcases (3) - tall narrow “Billy” from IKEA - corner unit,nan,nan,https://sfbay.craigslist.org/eby/fuo/d/oakland-bookcases-3-tall-narrow-billy/6874929484.html,
2019-04-25 18:09, (san jose west),Swatch men's watch,nan,nan,https://sfbay.craigslist.org/sby/jwl/d/san-jose-swatch-mens-watch/6874929453.html,
2019-04-25 18:09, (san rafael),1997 Triumph Daytona 595,nan,nan,https://sfbay.craigslist.org/nby/mcy/d/san-rafael-1997-triumph-daytona-595/6874929443.html,
2019-04-25 18:09, (palo alto),Red coffee bar,nan,nan,https://sfbay.craigslist.org/pen/fuo/d/palo-alto-red-coffee-bar/6868981413.html,
2019-04-25 18:09, (danville / san ramon),Elizabeth and James  Watt Sunglasses,nan,nan,https://sfbay.craigslist.org/eby/clo/d/alamo-elizabeth-and-james-watt/6874929331.html,
2019-04-25 18:09, (castro / upper market),Refrigerated Wine Cabinet,nan,nan,https://sfbay.craigslist.org/sfc/for/d/san-francisco-refrigerated-wine-cabinet/6869205609.html,
2019-04-25 18:09, (danville / san ramon),White Fur Vest,nan,nan,https://sfbay.craigslist.org/eby/clo/d/alamo-white-fur-vest/6874929198.html,
2019-04-25 18:08, (mission district),Kentia Palms,nan,nan,https://sfbay.craigslist.org/sfc/grd/d/san-francisco-kentia-palms/6870302145.html,
2019-04-25 18:08, (watsonville),Barrel table,nan,nan,https://sfbay.craigslist.org/scz/fuo/d/watsonville-barrel-table/6874929119.html,
2019-04-25 18:08, (danville / san ramon),Campbell's Soup mugs,nan,nan,https://sfbay.craigslist.org/eby/atq/d/alamo-campbells-soup-mugs/6874929087.html,
2019-04-25 18:08, (danville / san ramon),Campbell's Soup mugs,nan,nan,https://sfbay.craigslist.org/eby/atq/d/alamo-campbells-soup-mugs/6874929087.html,
2019-04-25 18:08, (San Luis Obispo),Polaris Sportsman 500 Quad- Green! Great shape,nan,nan,https://sfbay.craigslist.org/sfc/snw/d/san-luis-obispo-polaris-sportsman-500/6863902443.html,
2019-04-25 18:08, (San Luis Obispo),FAE Mulching and Mastication Head,nan,nan,https://sfbay.craigslist.org/nby/hvo/d/san-luis-obispo-fae-mulching-and/6863902220.html,
2019-04-25 18:08, (danville / san ramon),Coach dog collar size large,nan,nan,https://sfbay.craigslist.org/eby/for/d/alamo-coach-dog-collar-size-large/6874928977.html,
2019-04-25 18:08, (sebastopol),Prestige 24 K gold,nan,nan,https://sfbay.craigslist.org/nby/hab/d/sebastopol-prestige-24-gold/6874928981.html,
2019-04-25 18:08, (Fresno),1999 Hayabusa 1300cc,nan,nan,https://sfbay.craigslist.org/sby/mcy/d/fresno-1999-hayabusa-1300cc/6874928903.html,
2019-04-25 18:08, (Fresno),1999 Hayabusa 1300cc,nan,nan,https://sfbay.craigslist.org/sby/mcy/d/fresno-1999-hayabusa-1300cc/6874928903.html,
2019-04-25 18:08, (sebastopol),Formal prom dress size small   0    Large,nan,nan,https://sfbay.craigslist.org/nby/clo/d/sebastopol-formal-prom-dress-size-small/6874928891.html,
2019-04-25 18:08, (milpitas),Timbuk2 Especial Medio Cycling backpack,nan,nan,https://sfbay.craigslist.org/sby/clo/d/milpitas-timbuk2-especial-medio-cycling/6874928871.html,
2019-04-25 18:08, (capitola),Ikea Couch in Great Condition-make offer,nan,nan,https://sfbay.craigslist.org/scz/fuo/d/capitola-ikea-couch-in-great-condition/6871401614.html,
2019-04-25 18:08, (healdsburg / windsor),:: Twin Mattress - in pristine cond'n ::,nan,nan,https://sfbay.craigslist.org/nby/fuo/d/twin-mattress-in-pristine-condn/6869299900.html,
2019-04-25 18:08, (inner richmond),Moped,nan,nan,https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-moped/6872470765.html,
2019-04-25 18:08, (San Jose),Reebok Work Men's Sublite Cushion Work RB4040 Industrial and Construct,nan,nan,https://sfbay.craigslist.org/sfc/clo/d/san-jose-reebok-work-mens-sublite/6853716426.html,
2019-04-25 18:08, (sebastopol),Baggallini purse,nan,nan,https://sfbay.craigslist.org/nby/clo/d/sebastopol-baggallini-purse/6874928788.html,
2019-04-25 18:08, (mountain view),M6 3 Wood - *Brand New*,nan,nan,https://sfbay.craigslist.org/sby/spo/d/mountain-view-m6-3-wood-brand-new/6874928780.html,
2019-04-25 18:08, (mountain view),M6 3 Wood - *Brand New*,nan,nan,https://sfbay.craigslist.org/sby/spo/d/mountain-view-m6-3-wood-brand-new/6874928780.html,
2019-04-25 18:08, (San Jose),FAVOLCANO Mini 360 Rotatable Stand Adjustable Tripod Mount with Holder,nan,nan,https://sfbay.craigslist.org/sby/pho/d/san-jose-favolcano-mini-360-rotatable/6853716496.html,
2019-04-25 18:08, (San Jose),FAVOLCANO Mini 360 Rotatable Stand Adjustable Tripod Mount with Holder,nan,nan,https://sfbay.craigslist.org/sby/pho/d/san-jose-favolcano-mini-360-rotatable/6853716496.html,
2019-04-25 18:08, (San Jose),FAVOLCANO Mini 360 Rotatable Stand Adjustable Tripod Mount with Holder,nan,nan,https://sfbay.craigslist.org/sby/pho/d/san-jose-favolcano-mini-360-rotatable/6853716496.html,
2019-04-25 18:07, (campbell),Wool Rug,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/campbell-wool-rug/6869783645.html,
2019-04-25 18:07, (sebastopol),Baggallini purse,nan,nan,https://sfbay.craigslist.org/nby/clo/d/sebastopol-baggallini-purse/6874928697.html,
2019-04-25 18:07, (San Jose),Digital Basics 4 Port USB Type C Hub,nan,nan,https://sfbay.craigslist.org/sby/sys/d/san-jose-digital-basics-4-port-usb-type/6855934568.html,
2019-04-25 18:07, (watsonville),Logitech G233 PC Gaming Headset,nan,nan,https://sfbay.craigslist.org/scz/ele/d/gilroy-logitech-g233-pc-gaming-headset/6868888952.html,
2019-04-25 18:07, (haight ashbury),Honda Motorcycle (Price Drop),nan,nan,https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-honda-motorcycle-price/6856628290.html,
2019-04-25 18:07, (sebastopol),Baggallini purse,nan,nan,https://sfbay.craigslist.org/nby/clo/d/sebastopol-baggallini-purse/6874928697.html,
2019-04-25 18:07, (San Jose),Digital Basics 4 Port USB Type C Hub,nan,nan,https://sfbay.craigslist.org/sby/sys/d/san-jose-digital-basics-4-port-usb-type/6855934568.html,
2019-04-25 18:07, (watsonville),Logitech G233 PC Gaming Headset,nan,nan,https://sfbay.craigslist.org/scz/ele/d/gilroy-logitech-g233-pc-gaming-headset/6868888952.html,
2019-04-25 18:07, (haight ashbury),Honda Motorcycle (Price Drop),nan,nan,https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-honda-motorcycle-price/6856628290.html,
2019-04-25 18:07, (danville / san ramon),Cowhide Rug 88x24,nan,nan,https://sfbay.craigslist.org/eby/hsh/d/alamo-cowhide-rug-88x24/6874928620.html,
2019-04-25 18:07, (sunnyvale),Silent Vibrating Alarm Clock,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/sunnyvale-silent-vibrating-alarm-clock/6874928614.html,
2019-04-25 18:07, (San Jose),2014-2018 Chevrolet Silverado Floor Mats,nan,nan,https://sfbay.craigslist.org/sby/pts/d/san-jose-chevrolet-silverado-floor-mats/6855934462.html,
2019-04-25 18:07, (sunset / parkside),CRF 50 2006 Green Sticker,nan,nan,https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-crf-green-sticker/6874928595.html,
2019-04-25 18:07, (dublin / pleasanton / livermore),Floor Gym,nan,nan,https://sfbay.craigslist.org/eby/bab/d/floor-gym/6874928571.html,
2019-04-25 18:07, (sebastopol),Pallet Jack,nan,nan,https://sfbay.craigslist.org/nby/hvo/d/sebastopol-pallet-jack/6874928537.html,
2019-04-25 18:07, (San Jose),VICTEC  HDMI  DVI  VGA Addapter,nan,nan,https://sfbay.craigslist.org/sby/sys/d/san-jose-victec-hdmi-dvi-vga-addapter/6855934370.html,
2019-04-25 18:07, (oakland north / temescal),Roces Speed Inline Skates Men’s 11.0 US Made in Holland,nan,nan,https://sfbay.craigslist.org/eby/spo/d/oakland-roces-speed-inline-skates-mens/6869717850.html,
2019-04-25 18:07, (oakland north / temescal),Tiger Air Cleaner Air Purifier,nan,nan,https://sfbay.craigslist.org/eby/app/d/oakland-tiger-air-cleaner-air-purifier/6869757263.html,
2019-04-25 18:07, (emeryville),Noct-Nikkor 58mm f/1.2,nan,nan,https://sfbay.craigslist.org/eby/pho/d/emeryville-noct-nikkor-58mm-12/6861670131.html,
2019-04-25 18:07, (danville / san ramon),RC Planes,nan,nan,https://sfbay.craigslist.org/eby/tag/d/san-ramon-rc-planes/6874928515.html,
2019-04-25 18:07, (San Jose),GORILLA POLY GARDEN CART,nan,nan,https://sfbay.craigslist.org/sby/grd/d/san-jose-gorilla-poly-garden-cart/6855934275.html,
2019-04-25 18:07, (fremont / union city / newark),Cleats  Sports Gear  Size 5 and 7,nan,nan,https://sfbay.craigslist.org/eby/spo/d/cleats-sports-gear-size-5-and-7/6874928436.html,
2019-04-25 18:07, (San Jose),HP Car Phone adapters,nan,nan,https://sfbay.craigslist.org/sby/ele/d/san-jose-hp-car-phone-adapters/6855935262.html,
2019-04-25 18:07, (san jose west),Toddler Girls Tap Shoes,nan,nan,https://sfbay.craigslist.org/sby/clo/d/santa-clara-toddler-girls-tap-shoes/6874928413.html,
2019-04-25 18:07, (san rafael),Free small stainless steel trash can,nan,nan,https://sfbay.craigslist.org/nby/zip/d/san-rafael-free-small-stainless-steel/6874928421.html,
2019-04-25 18:07, (hayward / castro valley),2013 Lexus GS 350 F Sport,nan,nan,https://sfbay.craigslist.org/eby/cto/d/castro-valley-2013-lexus-gs-350-sport/6874930458.html,
2019-04-25 18:07, (One Amphitheatre Parkway),FLORIDA GEORGIA LINE AT SHORELINE AMPHITHEATRE - CA - NOW ON SALE!,nan,nan,https://sfbay.craigslist.org/pen/tid/d/mountain-view-florida-georgia-line-at/6874930449.html,
2019-04-25 18:07, (oakland north / temescal),Bladerunner Advantage Inline Skates Men’s 12.0,nan,nan,https://sfbay.craigslist.org/eby/spo/d/oakland-bladerunner-advantage-inline/6869703730.html,
2019-04-25 18:07, (oakland north / temescal),CANTON PLUS X Speakers with Stands Made in Germany,nan,nan,https://sfbay.craigslist.org/eby/ele/d/oakland-canton-plus-speakers-with/6869719463.html,
2019-04-25 18:07, (brentwood / oakley),Oak Nightstand,nan,nan,https://sfbay.craigslist.org/eby/fuo/d/antioch-oak-nightstand/6870868106.html,
2019-04-25 18:07, (San jose),Bike parts,nan,nan,https://sfbay.craigslist.org/sby/bop/d/san-jose-bike-parts/6855937223.html,
2019-04-25 18:07, (campbell),Wool Rug,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/campbell-wool-rug/6865590441.html,
2019-04-25 18:07, (san jose west),6x Gold Heart Shaped Photo Frames - Brand New -,nan,nan,https://sfbay.craigslist.org/sby/hsh/d/6x-gold-heart-shaped-photo-frames-brand/6874928296.html,
2019-04-25 18:07, (marina / cow hollow),1994 Eckler Jet n Spray,nan,nan,https://sfbay.craigslist.org/sfc/boa/d/sausalito-1994-eckler-jet-spray/6868697290.html,
2019-04-25 18:07, (inner richmond),Sewing machine,nan,nan,https://sfbay.craigslist.org/sfc/for/d/sewing-machine/6874928267.html,
2019-04-25 18:07, (San Jose),Symbol LS2208 Barcode Scanner with USB Cable,nan,nan,https://sfbay.craigslist.org/sby/sys/d/san-jose-symbol-ls2208-barcode-scanner/6855937121.html,
